--> Wrapper Started as Daemon
Launching a JVM...
Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
  Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.

2018.05.22 08:50:24 INFO  app[][o.s.a.AppFileSystem] Cleaning or creating temp directory /home/ufscar/Downloads/sonarqube-6.7.3/temp
2018.05.22 08:50:25 INFO  app[][o.s.a.es.EsSettings] Elasticsearch listening on /127.0.0.1:9001
2018.05.22 08:50:25 INFO  app[][o.s.a.p.ProcessLauncherImpl] Launch process[[key='es', ipcIndex=1, logFilenamePrefix=es]] from [/home/ufscar/Downloads/sonarqube-6.7.3/elasticsearch]: /home/ufscar/Downloads/sonarqube-6.7.3/elasticsearch/bin/elasticsearch -Epath.conf=/home/ufscar/Downloads/sonarqube-6.7.3/temp/conf/es
2018.05.22 08:50:25 INFO  app[][o.s.a.SchedulerImpl] Waiting for Elasticsearch to be up and running
2018.05.22 08:50:25 INFO  app[][o.e.p.PluginsService] no modules loaded
2018.05.22 08:50:25 INFO  app[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2018.05.22 08:50:31 INFO  app[][o.s.a.SchedulerImpl] Process[es] is up
2018.05.22 08:50:31 INFO  app[][o.s.a.p.ProcessLauncherImpl] Launch process[[key='web', ipcIndex=2, logFilenamePrefix=web]] from [/home/ufscar/Downloads/sonarqube-6.7.3]: /usr/lib/jvm/java-8-oracle/jre/bin/java -Djava.awt.headless=true -Dfile.encoding=UTF-8 -Djava.io.tmpdir=/home/ufscar/Downloads/sonarqube-6.7.3/temp -Xmx512m -Xms128m -XX:+HeapDumpOnOutOfMemoryError -cp ./lib/common/*:./lib/server/*:/home/ufscar/Downloads/sonarqube-6.7.3/lib/jdbc/h2/h2-1.3.176.jar org.sonar.server.app.WebServer /home/ufscar/Downloads/sonarqube-6.7.3/temp/sq-process3771168070322692764properties
2018.05.22 08:51:02 INFO  app[][o.s.a.SchedulerImpl] Process[web] is up
2018.05.22 08:51:02 INFO  app[][o.s.a.p.ProcessLauncherImpl] Launch process[[key='ce', ipcIndex=3, logFilenamePrefix=ce]] from [/home/ufscar/Downloads/sonarqube-6.7.3]: /usr/lib/jvm/java-8-oracle/jre/bin/java -Djava.awt.headless=true -Dfile.encoding=UTF-8 -Djava.io.tmpdir=/home/ufscar/Downloads/sonarqube-6.7.3/temp -Xmx512m -Xms128m -XX:+HeapDumpOnOutOfMemoryError -cp ./lib/common/*:./lib/server/*:./lib/ce/*:/home/ufscar/Downloads/sonarqube-6.7.3/lib/jdbc/h2/h2-1.3.176.jar org.sonar.ce.app.CeServer /home/ufscar/Downloads/sonarqube-6.7.3/temp/sq-process6275464376153174488properties
2018.05.22 08:51:06 INFO  app[][o.s.a.SchedulerImpl] Process[ce] is up
2018.05.22 08:51:06 INFO  app[][o.s.a.SchedulerImpl] SonarQube is up
